stamp_sec,stamp_nsec,current_id,relative_rad,feature_count
1744809445,993635027,1,0.0,0
1744809446,993516050,1,0.0,0
1744809448,2829482,2,0.0,0
1744809449,955342623,2,0.0,0
1744809451,977183945,3,0.0,0
1744809452,906084198,4,0.0,0
1744809453,985809726,4,0.0,0
1744809454,930966245,5,0.0,0
1744809456,27408359,6,0.0,0
1744809457,900027480,7,0.0,0
1744809458,947061463,6,0.0,0
1744809459,876122314,8,0.0,0
1744809461,887234770,8,0.0,0
1744809462,972675687,8,0.0,0
1744809463,875184250,9,0.0,0
1744809464,813639084,10,0.0,0
1744809466,28279926,10,0.0,0
1744809468,43956635,10,0.0,0
1744809469,54736254,11,0.0,0
1744809469,816959283,12,0.0,0
1744809470,836428394,12,0.0,0
1744809471,860488798,12,0.0,0
1744809472,889891522,13,0.0,0
1744809474,966243615,14,0.0,0
1744809476,16191829,15,0.0,0
1744809476,808710528,16,0.0,0
1744809477,868143025,17,0.0,0
1744809478,934657880,18,0.0,0
1744809480,2002044,19,0.0,0
1744809480,813105610,20,0.0,0
1744809482,981859012,21,0.0,0
1744809483,798180079,22,0.0,0
1744809484,899388151,22,0.0,0
1744809486,2178277,23,0.0,0
1744809486,833490544,24,0.0,0
1744809487,940904865,25,0.0,0
1744809488,777537965,26,0.0,0
1744809491,14898886,27,0.0,0
1744809491,856464881,28,0.0,0
1744809492,988866266,29,0.0,0
1744809493,834261677,28,0.0,0
1744809494,977297200,30,0.0,0
1744809495,829684665,31,0.0,0
1744809497,842074656,31,0.0,0
1744809499,858663411,31,0.0,0
1744809501,18814733,32,0.0,0
1744809501,888474667,32,0.0,0
1744809503,58945324,32,0.0,0
1744809503,935063835,33,0.0,0
1744809504,817970294,33,0.0,0
1744809505,997910091,33,0.0,0
1744809507,778543956,34,0.0,0
1744809508,968665027,34,0.0,0
1744809509,863573646,35,0.0,0
1744809511,50883008,35,0.0,0
1744809511,947528169,35,0.0,0
1744809512,847029881,36,0.0,0
1744809514,47517201,36,0.0,0
1744809515,847885913,37,0.0,0
1744809517,47395005,37,0.0,0
1744809517,947306793,37,0.0,0
1744809520,47434653,37,0.0,0
1744809520,947049249,38,0.0,0
1744809521,847371689,38,0.0,0
1744809523,47260569,39,0.0,0
1744809524,849487601,40,0.0,0
1744809526,47781441,40,0.0,0
1744809527,847017821,40,0.0,0
1744809529,46792341,39,0.0,0
1744809529,947043969,41,0.0,0
1744809530,847077821,42,0.0,0
1744809532,46549389,43,0.0,0
1744809533,846578417,42,0.0,0
1744809535,46425969,44,0.0,0
1744809535,947250069,45,0.0,0
1744809536,848543405,46,0.0,0
1744809538,46332201,47,0.0,0
1744809539,846983369,48,0.0,0
1744809541,947086245,49,0.0,0
1744809542,846997505,50,0.0,0
1744809544,45986973,50,0.0,0
1744809544,946003809,51,0.0,0
1744809545,845901389,51,0.0,0
1744809547,45816969,52,0.0,0
1744809548,847214561,52,0.0,0
1744809550,45670077,52,0.0,0
1744809550,949601877,52,0.0,0
1744809551,847073813,52,0.0,0
1744809553,46030785,53,0.0,0
1744809553,947131557,53,0.0,0
1744809554,846987257,53,0.0,0
1744809556,946781829,53,0.0,0
1744809557,847107077,54,0.0,0
1744809559,45327957,54,0.0,0
1744809559,947167785,54,0.0,0
1744809560,846988181,55,0.0,0
1744809562,45033573,55,0.0,0
1744809563,847022825,55,0.0,0
1744809565,44844105,55,0.0,0
1744809565,947116833,55,0.0,0
1744809566,844588781,56,0.0,0
1744809568,44245125,57,0.0,0
1744809568,947126889,57,0.0,0
1744809569,847074917,57,0.0,0
1744809571,947816781,57,0.0,0
1744809572,844597337,58,0.0,0
1744809574,44671401,58,0.0,0
1744809574,946289973,58,0.0,0
1744809577,44833773,58,0.0,0
1744809577,944820345,59,0.0,0
1744809578,847054925,60,0.0,0
1744809580,44340129,60,0.0,0
1744809581,844050221,61,0.0,0
1744809583,44040969,62,0.0,0
1744809583,943943265,62,0.0,0
1744809584,846566801,63,0.0,0
1744809586,43871841,63,0.0,0
1744809586,946805229,63,0.0,0
1744809589,43779645,64,0.0,0
1744809589,946507485,65,0.0,0
1744809590,845906429,65,0.0,0
1744809592,43440309,66,0.0,0
1744809592,949331109,66,0.0,0
1744809595,47177109,67,0.0,0
1744809595,946231725,68,0.0,0
1744809596,843779525,69,0.0,0
1744809598,48074121,70,0.0,0
1744809598,943578285,71,0.0,0
1744809599,843475397,72,0.0,0
1744809601,43096653,73,0.0,0
1744809602,843509021,74,0.0,0
1744809604,42895353,75,0.0,0
1744809604,944331153,76,0.0,0
1744809605,843013949,76,0.0,0
1744809607,42688581,77,0.0,0
1744809607,942695745,78,0.0,0
1744809608,843078881,79,0.0,0
1744809610,943719993,80,0.0,0
1744809611,845418137,80,0.0,0
1744809613,62819973,81,0.0,0
1744809613,943003965,81,0.0,0
1744809614,842791937,81,0.0,0
1744809616,42191757,81,0.0,0
1744809617,842568149,81,0.0,0
1744809619,41977665,82,0.0,0
1744809619,942894573,82,0.0,0
1744809620,842401445,82,0.0,0
1744809622,41961069,82,0.0,0
1744809623,842298605,83,0.0,0
1744809625,42434289,83,0.0,0
1744809625,944654565,83,0.0,0
1744809626,841618745,83,0.0,0
1744809628,941833065,84,0.0,0
1744809629,842142605,84,0.0,0
1744809631,41472093,85,0.0,0
1744809631,944479989,85,0.0,0
1744809632,841710581,85,0.0,0
1744809634,941136141,85,0.0,0
1744809635,841644821,86,0.0,0
1744809637,41201253,86,0.0,0
1744809637,943023417,87,0.0,0
1744809638,841522157,88,0.0,0
1744809640,40953165,88,0.0,0
1744809640,943850073,89,0.0,0
1744809643,40832061,89,0.0,0
1744809643,943805097,89,0.0,0
1744809644,841203605,90,0.0,0
1744809646,41103285,90,0.0,0
1744809646,940619805,91,0.0,0
1744809647,841031525,91,0.0,0
1744809649,942326169,92,0.0,0
1744809650,840662873,93,0.0,0
1744809652,40462509,93,0.0,0
1744809652,940367481,94,0.0,0
1744809653,840623285,95,0.0,0
1744809655,40202613,96,0.0,0
1744809656,840155609,97,0.0,0
1744809658,40041525,97,0.0,0
1744809658,942830841,98,0.0,0
1744809659,840484493,99,0.0,0
1744809661,40167261,100,0.0,0
1744809662,840427253,101,0.0,0
1744809664,43542009,102,0.0,0
1744809664,941108313,103,0.0,0
1744809665,840605021,104,0.0,0
1744809667,40976601,105,0.0,0
1744809667,939887817,105,0.0,0
1744809670,43930317,105,0.0,0
1744809670,942300297,106,0.0,0
1744809671,839418773,106,0.0,0
1744809673,39496557,107,0.0,0
1744809673,941968893,108,0.0,0
1744809674,839645141,108,0.0,0
1744809676,39456513,106,0.0,0
1744809677,839490605,106,0.0,0
1744809679,39030633,109,0.0,0
1744809679,941657817,109,0.0,0
1744809680,838902089,107,0.0,0
1744809682,38736261,109,0.0,0
1744809683,838766693,109,0.0,0
1744809685,38594805,109,0.0,0
1744809686,838577837,109,0.0,0
1744809688,44476185,109,0.0,0
1744809688,941369361,110,0.0,0
1744809689,838844465,110,0.0,0
1744809691,38442837,111,0.0,0
1744809691,940667577,111,0.0,0
1744809692,838221317,111,0.0,0
1744809694,940830765,112,0.0,0
1744809695,838206941,112,0.0,0
1744809697,38113977,112,0.0,0
1744809697,940112745,112,0.0,0
1744809698,837982757,112,0.0,0
1744809700,38606157,113,0.0,0
1744809701,837860297,113,0.0,0
1744809703,37910577,114,0.0,0
1744809703,938363913,114,0.0,0
1744809704,838101785,115,0.0,0
1744809706,56133165,114,0.0,0
1744809707,837537401,116,0.0,0
1744809709,37723293,117,0.0,0
1744809709,940089789,117,0.0,0
1744809710,837345497,118,0.0,0
1744809712,37680189,119,0.0,0
1744809712,937198929,119,0.0,0
1744809713,837127985,120,0.0,0
1744809715,939662361,121,0.0,0
1744809717,137696713,121,0.0,0
1744809718,41804349,122,0.0,0
1744809718,936848961,123,0.0,0
1744809721,36770709,124,0.0,0
1744809721,36770709,125,0.0,0
1744809722,836655797,126,0.0,0
1744809724,36729609,127,0.0,0
1744809724,936635421,128,0.0,0
1744809725,837157109,128,0.0,0
1744809727,36865245,129,0.0,0
1744809727,936941841,130,0.0,0
1744809730,37067925,131,0.0,0
1744809731,837003437,132,0.0,0
1744809733,52975113,133,0.0,0
1744809733,937007853,28,0.0,0
1744809734,839518289,134,0.0,0
1744809736,48608973,135,0.0,0
1744809736,938737005,136,0.0,0
1744809737,838954373,137,0.0,0
1744809739,53110941,137,0.0,0
1744809739,940409553,138,0.0,0
1744809742,49821849,139,0.0,0
1744809742,972172941,140,0.0,0
1744809743,844364597,140,0.0,0
1744809745,50475465,141,0.0,0
1744809745,947185965,141,0.0,0
1744809746,846955385,142,0.0,0
1744809748,968256969,143,0.0,0
1744809749,849122417,144,0.0,0
1744809751,61455777,144,0.0,0
1744809751,950577645,144,0.0,0
1744809752,851670053,145,0.0,0
1744809754,56525205,146,0.0,0
1744809755,853919729,147,0.0,0
1744809757,54800925,148,0.0,0
1744809757,955493229,149,0.0,0
1744809759,168081121,150,0.0,0
1744809760,71515017,151,0.0,0
1744809760,958590897,152,0.0,0
1744809761,858784997,153,0.0,0
1744809763,961077345,154,0.0,0
1744809764,861409085,155,0.0,0
1744809766,62288721,155,0.0,0
1744809766,962852997,156,0.0,0
1744809767,863387729,157,0.0,0
1744809769,68409321,157,0.0,0
1744809769,965767773,158,0.0,0
1744809772,72997833,158,0.0,0
1744809772,967888641,159,0.0,0
1744809773,868375745,160,0.0,0
1744809775,80308641,161,0.0,0
1744809775,992634249,162,0.0,0
1744809776,871025705,163,0.0,0
1744809778,72111885,163,0.0,0
1744809778,974031009,164,0.0,0
1744809781,77176869,165,0.0,0
1744809781,977595357,166,0.0,0
1744809782,877598681,167,0.0,0
1744809784,91829685,168,0.0,0
1744809784,978892065,169,0.0,0
1744809785,879281957,170,0.0,0
1744809787,79494933,171,0.0,0
1744809788,881238773,171,0.0,0
1744809790,81428877,171,0.0,0
1744809790,981840177,172,0.0,0
1744809791,884496029,172,0.0,0
1744809793,99302121,173,0.0,0
1744809793,984719301,173,0.0,0
1744809794,887056877,173,0.0,0
1744809796,988394601,173,0.0,0
1744809797,888581165,173,0.0,0
1744809799,88838253,173,0.0,0
1744809799,989740413,174,0.0,0
1744809800,893746253,174,0.0,0
1744809803,894756233,174,0.0,0
1744809804,793723897,174,0.0,0
1744809805,995177577,174,0.0,0
1744809806,896785205,175,0.0,0
1744809808,112688385,175,0.0,0
1744809808,996853737,176,0.0,0
1744809809,898957097,176,0.0,0
1744809810,797958073,176,0.0,0
1744809812,900222221,176,0.0,0
1744809813,803159341,177,0.0,0
1744809815,2158721,177,0.0,0
1744809815,903334409,178,0.0,0
1744809816,805428277,178,0.0,0
1744809818,3933317,178,0.0,0
1744809819,804899989,178,0.0,0
1744809821,6139409,178,0.0,0
1744809821,908650265,179,0.0,0
1744809822,810049549,179,0.0,0
1744809824,9068681,179,0.0,0
1744809824,911484917,179,0.0,0
1744809827,10574345,180,0.0,0
1744809828,814736317,180,0.0,0
1744809829,112203477,180,0.0,0
1744809830,13200113,181,0.0,0
1744809831,814442281,181,0.0,0
1744809833,15361277,181,0.0,0
1744809834,819133993,182,0.0,0
1744809836,17690681,182,0.0,0
1744809836,919772093,182,0.0,0
1744809837,818972185,183,0.0,0
1744809839,20267069,184,0.0,0
1744809839,923045621,185,0.0,0
1744809840,824083477,184,0.0,0
1744809842,923151833,186,0.0,0
1744809843,826480537,186,0.0,0
1744809845,25256849,187,0.0,0
1744809846,828772093,188,0.0,0
1744809848,27175697,189,0.0,0
1744809849,830839177,190,0.0,0
1744809851,930860873,191,0.0,0
1744809852,831068665,192,0.0,0
1744809854,31966145,193,0.0,0
1744809854,934596737,194,0.0,0
1744809855,835655737,195,0.0,0
1744809857,34259561,196,0.0,0
1744809857,938000237,196,0.0,0
1744809860,36244133,197,0.0,0
1744809860,939268985,196,0.0,0
1744809861,840440377,196,0.0,0
1744809863,38598917,198,0.0,0
1744809863,941545901,198,0.0,0
1744809864,842697505,198,0.0,0
1744809866,942129365,198,0.0,0
1744809867,844672261,199,0.0,0
1744809869,43248953,199,0.0,0
1744809869,945643961,199,0.0,0
1744809870,844447285,198,0.0,0
1744809872,45433409,200,0.0,0
1744809873,848988229,200,0.0,0
1744809875,47726393,200,0.0,0
1744809875,949817561,200,0.0,0
1744809876,851971861,200,0.0,0
1744809878,50153957,201,0.0,0
1744809879,852791137,201,0.0,0
1744809881,52282409,201,0.0,0
1744809881,954176285,201,0.0,0
1744809882,853643749,202,0.0,0
1744809884,65213405,202,0.0,0
1744809884,957486041,203,0.0,0
1744809885,855864649,203,0.0,0
1744809887,57205841,204,0.0,0
1744809888,860796817,205,0.0,0
1744809890,960868493,205,0.0,0
1744809891,860648893,205,0.0,0
1744809893,61415909,205,0.0,0
1744809893,964428281,206,0.0,0
1744809894,865432873,206,0.0,0
1744809896,966566057,207,0.0,0
1744809897,864925537,207,0.0,0
1744809899,66305909,208,0.0,0
1744809899,966929429,209,0.0,0
1744809900,867133717,210,0.0,0
1744809902,68288045,211,0.0,0
1744809902,970769561,212,0.0,0
1744809905,70309577,213,0.0,0
1744809905,973346765,214,0.0,0
1744809906,873041461,215,0.0,0
1744809908,72768737,216,0.0,0
1744809908,975351317,217,0.0,0
1744809909,873815185,215,0.0,0
1744809911,74771549,218,0.0,0
1744809912,878705497,219,0.0,0
1744809913,778686333,217,0.0,0
1744809914,977600597,220,0.0,0
1744809915,879087349,220,0.0,0
1744809917,79384793,220,0.0,0
1744809918,880397797,221,0.0,0
1744809920,83895485,221,0.0,0
1744809921,885364837,221,0.0,0
1744809923,83584241,221,0.0,0
1744809923,987136313,221,0.0,0
1744809924,887774389,221,0.0,0
1744809926,987225821,222,0.0,0
1744809929,92565545,222,0.0,0
1744809929,92565545,222,0.0,0
1744809929,988289153,222,0.0,0
1744809930,891148477,222,0.0,0
1744809931,791599869,222,0.0,0
1744809933,891539521,222,0.0,0
1744809935,995213933,222,0.0,0
1744809936,896970913,223,0.0,0
1744809937,795204273,223,0.0,0
1744809938,995224757,223,0.0,0
1744809939,898802725,223,0.0,0
1744809941,998077133,224,0.0,0
1744809942,900289417,224,0.0,0
1744809943,801308493,224,0.0,0
1744809945,1858345,224,0.0,0
1744809945,902770441,224,0.0,0
1744809946,803002449,224,0.0,0
1744809948,903003073,225,0.0,0
1744809949,804538413,225,0.0,0
1744809951,5064745,226,0.0,0
1744809951,904870129,227,0.0,0
1744809952,806867949,228,0.0,0
1744809954,13217317,229,0.0,0
1744809955,808110141,230,0.0,0
1744809957,10972345,231,0.0,0
1744809957,911799445,225,0.0,0
1744809958,812430177,232,0.0,0
1744809960,10482325,233,0.0,0
1744809960,912938809,234,0.0,0
1744809963,12121969,235,0.0,0
1744809963,913345201,236,0.0,0
1744809964,814041297,237,0.0,0
1744809966,17139553,238,0.0,0
1744809966,915083761,239,0.0,0
1744809967,818692713,239,0.0,0
1744809969,16928677,239,0.0,0
1744809970,820350573,239,0.0,0
1744809972,19091449,240,0.0,0
1744809972,922589809,238,0.0,0
1744809975,21256057,239,0.0,0
1744809975,21256057,241,0.0,0
1744809976,824060145,242,0.0,0
1744809978,23391493,243,0.0,0
1744809978,924115465,244,0.0,0
1744809979,827282097,245,0.0,0
1744809981,25548097,246,0.0,0
1744809982,827233125,247,0.0,0
1744809984,27637585,248,0.0,0
1744809984,928375909,249,0.0,0
1744809985,828943053,250,0.0,0
1744809987,29843641,250,0.0,0
1744809987,931588117,248,0.0,0
1744809988,833186205,251,0.0,0
1744809990,934835869,251,0.0,0
1744809991,836008497,251,0.0,0
1744809993,34046029,251,0.0,0
1744809993,937411021,251,0.0,0
1744809994,838209369,252,0.0,0
1744809996,36238465,252,0.0,0
1744809996,936955081,253,0.0,0
1744809999,39140929,253,0.0,0
1744809999,938913733,254,0.0,0
1744810000,841937805,254,0.0,0
1744810002,40362421,254,0.0,0
1744810002,941056849,254,0.0,0
1744810003,844357053,255,0.0,0
1744810005,944604577,255,0.0,0
1744810006,845965701,255,0.0,0
1744810008,44663293,256,0.0,0
1744810008,948376777,256,0.0,0
1744810011,46911577,256,0.0,0
1744810011,950333485,256,0.0,0
1744810012,850092129,257,0.0,0
1744810014,48800653,257,0.0,0
1744810014,949555969,258,0.0,0
1744810015,850457601,258,0.0,0
1744810017,950991253,258,0.0,0
1744810018,852125685,259,0.0,0
1744810020,956392189,259,0.0,0
1744810023,55156513,260,0.0,0
1744810023,55156513,261,0.0,0
1744810023,958532089,262,0.0,0
1744810026,57441721,263,0.0,0
1744810026,957792241,264,0.0,0
1744810027,858435453,264,0.0,0
1744810029,60265657,265,0.0,0
1744810029,960539161,266,0.0,0
1744810030,861875181,267,0.0,0
1744810032,963090853,267,0.0,0
